index,YEAR,LOCATION,CATTLE_BREED_TYPE,CATTLE_GENDER,CATTLE_AGE_0_6,CATTLE_AGE_6_6,CATTLE_AGE_6_12,CATTLE_AGE_12_18,CATTLE_AGE_18_24,CATTLE_AGE_24_30,CATTLE_AGE_30_36,CATTLE_AGE_36_PLUS
3450,2020,Moy,DAIRY,F,110,244,2553,393,2296,249,397,168
3451,2017,Moy,DAIRY,F,112,247,2600,371,2316,236,405,176
3452,2017,Dodder,DAIRY,F,0,1,197,1,31,1,9,2
3453,2016,Erriff,DAIRY,F,0,0,0,1,2,0,0,1
3454,2016,Gweebarra,DAIRY,F,0,0,8,0,34,1,0,0
3455,2020,Currane,DAIRY,F,0,0,10,0,5,0,1,0
3456,2016,Moy,BEEF,M,637,3246,17738,3269,10268,827,890,1254
3457,2016,Doonbeg,BEEF,M,136,516,3095,407,1655,124,146,285
3458,2019,Boyne,BEEF,M,1534,6392,36101,9951,36226,4290,5086,2441
3459,2016,Doonbeg,DAIRY,M,1,20,996,13,671,8,56,13
3460,2017,Gweebarra,BEEF,M,12,74,193,16,17,0,5,22
3461,2014,Erriff,BEEF,M,1,35,272,29,126,11,6,14
3462,2017,Vartry,BEEF,M,56,207,826,199,486,71,41,88
3463,2016,Vartry,BEEF,M,56,207,832,199,486,72,42,91
3464,2016,Nore,DAIRY,M,453,1744,25481,1740,20053,668,1271,213
3465,2019,Dodder,BEEF,M,18,57,188,56,175,17,19,22
3466,2015,Moy,DAIRY,M,124,152,1663,198,802,75,96,35
3467,2020,Currane,BEEF,M,33,200,244,31,56,8,12,41
3468,2020,Dodder,DAIRY,M,3,25,115,18,105,8,8,2
3469,2020,Ilen,DAIRY,M,72,137,1462,135,661,40,78,22
3470,2019,Vartry,DAIRY,M,9,32,45,31,62,9,8,5
3471,2014,Gweebarra,DAIRY,M,0,0,110,6,204,0,0,0
3472,2015,Erriff,DAIRY,M,0,0,7,1,4,0,0,0
3473,2020,Dargle,DAIRY,M,0,7,46,2,13,0,2,1
3474,2014,Dargle,DAIRY,M,0,4,33,1,13,0,2,1
3475,2017,Gweebarra,DAIRY,M,0,0,0,0,1,0,0,0
3476,2019,Currane,DAIRY,M,0,0,7,0,0,0,0,0
3477,2017,Nore,BEEF,C,0,0,0,0,155,650,4289,45617
3478,2018,Nore,BEEF,C,0,0,0,0,156,659,4323,46075
3479,2018,Dodder,BEEF,C,0,0,0,0,1,9,32,462
3480,2020,Boyne,BEEF,C,0,0,0,4,190,633,4251,47910
3481,2017,Inny,BEEF,C,0,0,0,1,97,264,2060,27427
3482,2020,Dodder,DAIRY,C,0,0,0,0,1,3,64,316
3483,2019,Dodder,DAIRY,C,0,0,0,0,1,0,55,283
3484,2016,Dargle,DAIRY,C,0,0,0,0,0,0,65,360
3485,2014,Dargle,DAIRY,C,0,0,0,0,0,0,40,234
3486,2015,Ilen,DAIRY,C,0,0,0,0,30,95,3850,20299
3487,2016,Ilen,BEEF,C,0,0,0,0,15,115,520,6337
3488,2015,Ilen,BEEF,C,0,0,0,0,15,114,520,6312
3489,2017,Nore,DAIRY,C,0,0,0,0,99,456,24605,104966
3490,2019,Doonbeg,BEEF,C,0,0,0,0,13,40,446,5613
3491,2016,Doonbeg,BEEF,C,0,0,0,0,13,40,442,5568
3492,2020,Inny,DAIRY,C,0,0,0,0,39,188,4758,20619
3493,2017,Currane,BEEF,C,0,0,0,0,2,16,102,1201
3494,2014,Currane,BEEF,C,0,0,0,0,2,13,109,1083
3495,2016,Doonbeg,DAIRY,C,0,0,0,0,4,6,1000,6206
3496,2017,Currane,DAIRY,C,0,0,0,0,0,0,3,32
3497,2016,Currane,DAIRY,C,0,0,0,0,0,0,3,32
3498,2018,Boyne,BEEF,F,1486,6379,37858,11092,39515,5053,5677,1427
3499,2018,Vartry,DAIRY,C,0,0,0,0,3,71,342,1668
3500,2017,Doonbeg,BEEF,F,135,527,3122,414,1632,215,523,166
3501,2015,Doonbeg,BEEF,F,135,513,3120,418,1623,210,519,163
